Case Name                                                                                                                                                                                                   ,Patentee                                                                  ,Filing Date,Case No.     ,Court      ,Patentee Category                           ,"""True"" Individual","""Corporate"" Individual",Number of Defendants,                                                                                                                                    
"Norman IP Holdings, LLC v. TomTom, Inc                                                                                                                                                                    ","Norman IP Holdings, LLC                                                 ",8/10/12    ,6:12-cv-00520,E.D. Tex.  ,3. Large aggregator                         ,                     ,                          ,1                   ,                                                                                                                                    
"Norman IP Holdings, LLC v. ViewSonic Corporation                                                                                                                                                          ","Norman IP Holdings, LLC                                                 ",8/10/12    ,6:12-cv-00521,E.D. Tex.  ,3. Large aggregator                         ,                     ,                          ,1                   ,                                                                                                                                    
"Norman IP Holdings, LLC v. Vizio, Inc                                                                                                                                                                     ","Norman IP Holdings, LLC                                                 ",8/10/12    ,6:12-cv-00522,E.D. Tex.  ,3. Large aggregator                         ,                     ,                          ,1                   ,                                                                                                                                    
"Norman IP Holdings, LLC v. Volkswagen Group of America, Inc                                                                                                                                               ","Norman IP Holdings, LLC                                                 ",8/10/12    ,6:12-cv-00523,E.D. Tex.  ,3. Large aggregator                         ,                     ,                          ,1                   ,                                                                                                                                    
"Norman IP Holdings, LLC v. Xerox Corporation                                                                                                                                                              ","Norman IP Holdings, LLC                                                 ",8/10/12    ,6:12-cv-00524,E.D. Tex.  ,3. Large aggregator                         ,                     ,                          ,1                   ,                                                                                                                                    
"Norman IP Holdings, LLC v. ZTE (USA) Inc, et al                                                                                                                                                           ","Norman IP Holdings, LLC                                                 ",8/10/12    ,6:12-cv-00525,E.D. Tex.  ,3. Large aggregator                         ,                     ,                          ,2                   ,                                                                                                                                    
"Blue Spike, LLC v. Viggle, Inc.,                                                                                                                                                                          ","Blue Spike, LLC                                                         ",8/13/12    ,6:12-cv-00526,E.D. Tex.  ,4. Failed operating company/failed start-up ,                     ,                          ,1                   ,                                                                                                                                    
"Blue Spike, LLC v. Free Stream Media Corp.                                                                                                                                                                ","Blue Spike, LLC                                                         ",8/14/12    ,6:12-cv-00527,E.D. Tex.  ,4. Failed operating company/failed start-up ,                     ,                          ,1                   ,                                                                                                                                    
"Blue Spike, LLC v. The Echo Nest Corporation                                                                                                                                                              ","Blue Spike, LLC                                                         ",8/14/12    ,6:12-cv-00528,E.D. Tex.  ,4. Failed operating company/failed start-up ,                     ,                          ,1                   ,                                                                                                                                    
"Blue Spike, LLC v. Peer Media Technologies, Inc.                                                                                                                                                          ","Blue Spike, LLC                                                         ",8/14/12    ,6:12-cv-00529,E.D. Tex.  ,4. Failed operating company/failed start-up ,                     ,                          ,1                   ,                                                                                                                                    
"Blue Spike, LLC v. BIO-key International, Inc.                                                                                                                                                            ","Blue Spike, LLC                                                         ",8/15/12    ,6:12-cv-00531,E.D. Tex.  ,4. Failed operating company/failed start-up ,                     ,                          ,1                   ,                                                                                                                                    
"Blue Spike, LLC v. TuneSat, LLC                                                                                                                                                                           ","Blue Spike, LLC                                                         ",8/15/12    ,6:12-cv-00533,E.D. Tex.  ,4. Failed operating company/failed start-up ,                     ,                          ,1                   ,                                                                                                                                    
"Blue Spike, LLC v. Vercury, Inc.                                                                                                                                                                          ","Blue Spike, LLC                                                         ",8/15/12    ,6:12-cv-00534,E.D. Tex.  ,4. Failed operating company/failed start-up ,                     ,                          ,1                   ,                                                                                                                                    
"Blue Spike, LLC v. SoundHound, Inc.                                                                                                                                                                       ","Blue Spike, LLC                                                         ",8/16/12    ,6:12-cv-00537,E.D. Tex.  ,4. Failed operating company/failed start-up ,                     ,                          ,1                   ,                                                                                                                                    
"Blue Spike, LLC v. Vobile, Inc.                                                                                                                                                                           ","Blue Spike, LLC                                                         ",8/16/12    ,6:12-cv-00539,E.D. Tex.  ,4. Failed operating company/failed start-up ,                     ,                          ,1                   ,                                                                                                                                    
"Blue Spike, LLC v. Attributor Corporation                                                                                                                                                                 ","Blue Spike, LLC                                                         ",8/16/12    ,6:12-cv-00540,E.D. Tex.  ,4. Failed operating company/failed start-up ,                     ,                          ,1                   ,                                                                                                                                    
"Meadows Financial Systems, LLC v. Deutsche Lufthansa AG                                                                                                                                                   ","Meadows Financial Systems, LLC                                          ",8/17/12    ,6:12-cv-00542,E.D. Tex.  ,5. Patent holding company                   ,                     ,                          ,1                   ,                                                                                                                                    
"EMG Technology, LLC v. The Vanguard Group, Inc.                                                                                                                                                           ","EMG Technology, LLC                                                     ",8/17/12    ,6:12-cv-00543,E.D. Tex.  ,5. Patent holding company                   ,                     ,                          ,1                   ,                                                                                                                                    
"Blue Spike, LLC v. Miranda Technologies, Inc. et al                                                                                                                                                       ","Blue Spike, LLC                                                         ",8/17/12    ,6:12-cv-00544,E.D. Tex.  ,4. Failed operating company/failed start-up ,                     ,                          ,2                   ,                                                                                                                                    
Ecolab Inc. et al v. International Chemical Corporation                                                                                                                                                     ,Ecolab Inc.                                                               ,4/10/12    ,6:12-cv-00546,M.D. Fla.  ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
"EON Corp. IP Holdings, LLC v. Best Buy Co., Inc, et al                                                                                                                                                    ","EON Corp. IP Holdings, LLC                                              ",8/16/12    ,6:12-cv-00546,E.D. Tex.  ,5. Patent holding company                   ,                     ,                          ,21                  ,                                                                                                                                    
"NobelBiz, Inc. v. Connect First, Inc.                                                                                                                                                                     ","NobelBiz, Inc.                                                          ",8/20/12    ,6:12-cv-00549,E.D. Tex.  ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
"Blue Spike, LLC v. Yahoo! Inc.                                                                                                                                                                            ","Blue Spike, LLC                                                         ",8/22/12    ,6:12-cv-00556,E.D. Tex.  ,4. Failed operating company/failed start-up ,                     ,                          ,1                   ,                                                                                                                                    
"Blue Spike, LLC v. Civolution USA, Inc. et al                                                                                                                                                             ","Blue Spike, LLC                                                         ",8/22/12    ,6:12-cv-00557,E.D. Tex.  ,4. Failed operating company/failed start-up ,                     ,                          ,2                   ,                                                                                                                                    
"Blue Spike, LLC v. Google Inc.                                                                                                                                                                            ","Blue Spike, LLC                                                         ",8/22/12    ,6:12-cv-00558,E.D. Tex.  ,4. Failed operating company/failed start-up ,                     ,                          ,1                   ,                                                                                                                                    
"Blue Spike, LLC v. Adobe Systems, Inc.                                                                                                                                                                    ","Blue Spike, LLC                                                         ",8/22/12    ,6:12-cv-00564,E.D. Tex.  ,4. Failed operating company/failed start-up ,                     ,                          ,1                   ,                                                                                                                                    
"Blue Spike, LLC v. Umami Co.                                                                                                                                                                              ","Blue Spike, LLC                                                         ",8/22/12    ,6:12-cv-00565,E.D. Tex.  ,4. Failed operating company/failed start-up ,                     ,                          ,1                   ,                                                                                                                                    
"Heiber Patent Licensing Corp. v. Tech-Optics, Inc.                                                                                                                                                        ",Heiber Patent Licensing Corp.                                             ,4/13/12    ,6:12-cv-00566,M.D. Fla.  ,5. Patent holding company                   ,                     ,                          ,1                   ,                                                                                                                                    
"Blue Spike, LLC v. Irdeto USA, Inc. et al                                                                                                                                                                 ","Blue Spike, LLC                                                         ",8/23/12    ,6:12-cv-00567,E.D. Tex.  ,4. Failed operating company/failed start-up ,                     ,                          ,2                   ,                                                                                                                                    
"Blue Spike, LLC v. Zeitera, LLC et al                                                                                                                                                                     ","Blue Spike, LLC                                                         ",8/23/12    ,6:12-cv-00568,E.D. Tex.  ,4. Failed operating company/failed start-up ,                     ,                          ,3                   ,                                                                                                                                    
"Blue Spike, LLC v. WiOffer, LLC                                                                                                                                                                           ","Blue Spike, LLC                                                         ",8/23/12    ,6:12-cv-00570,E.D. Tex.  ,4. Failed operating company/failed start-up ,                     ,                          ,1                   ,                                                                                                                                    
"Blue Spike, LLC v. Technicolor USA, Inc. et al                                                                                                                                                            ","Blue Spike, LLC                                                         ",8/24/12    ,6:12-cv-00572,E.D. Tex.  ,4. Failed operating company/failed start-up ,                     ,                          ,2                   ,                                                                                                                                    
"Optigenex Inc, v. JEUNESSE GLOBAL HOLDINGS, LLC et al                                                                                                                                                     ","Optigenex Inc,                                                          ",8/24/12    ,6:12-cv-00573,E.D. Tex.  ,6. Operating company                        ,                     ,                          ,5                   ,                                                                                                                                    
"Blue Spike, LLC v. Audible Magic Corporation et al                                                                                                                                                        ","Blue Spike, LLC                                                         ",8/27/12    ,6:12-cv-00576,E.D. Tex.  ,4. Failed operating company/failed start-up ,                     ,                          ,25                  ,                                                                                                                                    
"Blue Spike, LLC v. Rovi Corporation et al                                                                                                                                                                 ","Blue Spike, LLC                                                         ",8/27/12    ,6:12-cv-00577,E.D. Tex.  ,4. Failed operating company/failed start-up ,                     ,                          ,2                   ,                                                                                                                                    
Commonwealth Scientific and Industrial Research Organisation v. MediaTek Inc. et al                                                                                                                         ,Commonwealth Scientific and Industrial Research Organisation              ,8/27/12    ,6:12-cv-00578,E.D. Tex.  ,8. Technology development company           ,                     ,                          ,13                  ,                                                                                                                                    
"Blue Spike, LLC v. YouWeb, LLC et al                                                                                                                                                                      ","Blue Spike, LLC                                                         ",8/28/12    ,6:12-cv-00580,E.D. Tex.  ,4. Failed operating company/failed start-up ,                     ,                          ,3                   ,                                                                                                                                    
"Blue Spike, LLC v. SMRTV, Inc.                                                                                                                                                                            ","Blue Spike, LLC                                                         ",8/28/12    ,6:12-cv-00581,E.D. Tex.  ,4. Failed operating company/failed start-up ,                     ,                          ,1                   ,                                                                                                                                    
"Blue Spike, LLC v. ACTV8, Inc.                                                                                                                                                                            ","Blue Spike, LLC                                                         ",8/28/12    ,6:12-cv-00582,E.D. Tex.  ,4. Failed operating company/failed start-up ,                     ,                          ,1                   ,                                                                                                                                    
"Blue Spike, LLC v. Broadcast Music, Inc. et al                                                                                                                                                            ","Blue Spike, LLC                                                         ",8/30/12    ,6:12-cv-00586,E.D. Tex.  ,4. Failed operating company/failed start-up ,                     ,                          ,2                   ,                                                                                                                                    
"Blue Spike, LLC v. The Nielsen Company (US) LLC                                                                                                                                                           ","Blue Spike, LLC                                                         ",8/30/12    ,6:12-cv-00587,E.D. Tex.  ,4. Failed operating company/failed start-up ,                     ,                          ,1                   ,                                                                                                                                    
"Landmark Technology, LLC v. Lumber Liquidators, Inc.                                                                                                                                                      ","Landmark Technology, LLC                                                ",8/31/12    ,6:12-cv-00590,E.D. Tex.  ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
"Landmark Technology, LLC v. The Toro Company                                                                                                                                                              ","Landmark Technology, LLC                                                ",8/31/12    ,6:12-cv-00592,E.D. Tex.  ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
"Landmark Technology, LLC v. Wolverine World Wide, Inc.                                                                                                                                                    ","Landmark Technology, LLC                                                ",8/31/12    ,6:12-cv-00593,E.D. Tex.  ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
"Blue Spike, LLC v. CBS Interactive, Inc. et al                                                                                                                                                            ","Blue Spike, LLC                                                         ",9/4/12     ,6:12-cv-00594,E.D. Tex.  ,4. Failed operating company/failed start-up ,                     ,                          ,2                   ,                                                                                                                                    
"Blue Spike, LLC v. Clear Channel Broadcasting, Inc.                                                                                                                                                       ","Blue Spike, LLC                                                         ",9/4/12     ,6:12-cv-00595,E.D. Tex.  ,4. Failed operating company/failed start-up ,                     ,                          ,1                   ,                                                                                                                                    
"Powerline Innovations, LLC v. IC Intracom Holdings, LLC et al                                                                                                                                             ","Powerline Innovations, LLC                                              ",9/4/12     ,6:12-cv-00596,E.D. Tex.  ,5. Patent holding company                   ,                     ,                          ,2                   ,                                                                                                                                    
"Powerline Innovations, LLC v. Comtrend Corporation et al                                                                                                                                                  ","Powerline Innovations, LLC                                              ",9/4/12     ,6:12-cv-00597,E.D. Tex.  ,5. Patent holding company                   ,                     ,                          ,5                   ,                                                                                                                                    
"Blue Spike, LLC v. Soundmouse Ltd.                                                                                                                                                                        ","Blue Spike, LLC                                                         ",9/4/12     ,6:12-cv-00598,E.D. Tex.  ,4. Failed operating company/failed start-up ,                     ,                          ,1                   ,                                                                                                                                    
Touchscreen Gestures LLC v. ViewSonic Corporation                                                                                                                                                           ,Touchscreen Gestures LLC                                                  ,9/5/12     ,6:12-cv-00599,E.D. Tex.  ,5. Patent holding company                   ,                     ,                          ,1                   ,                                                                                                                                    
Touchscreen Gestures LLC v. Sony Corporation et al                                                                                                                                                          ,Touchscreen Gestures LLC                                                  ,9/5/12     ,6:12-cv-00600,E.D. Tex.  ,5. Patent holding company                   ,                     ,                          ,5                   ,                                                                                                                                    
Touchscreen Gestures LLC v. Google Inc.                                                                                                                                                                     ,Touchscreen Gestures LLC                                                  ,9/5/12     ,6:12-cv-00601,E.D. Tex.  ,5. Patent holding company                   ,                     ,                          ,1                   ,                                                                                                                                    
"Landmark Technology, LLC v. Cintas Corporation                                                                                                                                                            ","Landmark Technology, LLC                                                ",9/7/12     ,6:12-cv-00605,E.D. Tex.  ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
"Landmark Technology, LLC v. PetSmart, Inc.                                                                                                                                                                ","Landmark Technology, LLC                                                ",9/7/12     ,6:12-cv-00606,E.D. Tex.  ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
"Blue Spike, LLC v. SecuGen Corporation                                                                                                                                                                    ","Blue Spike, LLC                                                         ",9/7/12     ,6:12-cv-00607,E.D. Tex.  ,4. Failed operating company/failed start-up ,                     ,                          ,1                   ,                                                                                                                                    
"Blue Spike, LLC v. ZkTeco, Inc. et al                                                                                                                                                                     ","Blue Spike, LLC                                                         ",9/7/12     ,6:12-cv-00608,E.D. Tex.  ,4. Failed operating company/failed start-up ,                     ,                          ,2                   ,                                                                                                                                    
"Blue Spike, LLC v. Fulcrum Biometrics, LLC et al                                                                                                                                                          ","Blue Spike, LLC                                                         ",9/7/12     ,6:12-cv-00610,E.D. Tex.  ,4. Failed operating company/failed start-up ,                     ,                          ,2                   ,                                                                                                                                    
"Oil States Energy Services, L.L.C. v. Trojan Wellhead Protection, Inc. et al                                                                                                                              ","Oil States Energy Services, L.L.C.                                      ",9/10/12    ,6:12-cv-00611,E.D. Tex.  ,6. Operating company                        ,                     ,                          ,2                   ,                                                                                                                                    
"Blue Spike, LLC v. Fujitsu America, Inc. et al                                                                                                                                                            ","Blue Spike, LLC                                                         ",9/10/12    ,6:12-cv-00616,E.D. Tex.  ,4. Failed operating company/failed start-up ,                     ,                          ,4                   ,                                                                                                                                    
"The Regents of the University of California et al v. Facebook, Inc.                                                                                                                                       ",The Regents of the University of California                               ,9/12/12    ,6:12-cv-00619,E.D. Tex.  ,1. University/College                       ,                     ,                          ,1                   ,                                                                                                                                    
"The Regents of the University of California et al v. Wal-Mart Stores, Inc.                                                                                                                                ",The Regents of the University of California                               ,9/12/12    ,6:12-cv-00620,E.D. Tex.  ,1. University/College                       ,                     ,                          ,1                   ,                                                                                                                                    
The Regents of the University of California et al v. The Walt Disney Company et al                                                                                                                          ,The Regents of the University of California                               ,9/12/12    ,6:12-cv-00621,E.D. Tex.  ,1. University/College                       ,                     ,                          ,3                   ,                                                                                                                                    
"Clear With Computers, LLC v. AGCO Corporation                                                                                                                                                             ","Clear With Computers, LLC                                               ",9/12/12    ,6:12-cv-00622,E.D. Tex.  ,5. Patent holding company                   ,                     ,                          ,1                   ,                                                                                                                                    
"Clear With Computers, LLC v. Arctic Cat Inc                                                                                                                                                               ","Clear With Computers, LLC                                               ",9/12/12    ,6:12-cv-00623,E.D. Tex.  ,5. Patent holding company                   ,                     ,                          ,1                   ,                                                                                                                                    
"Clear With Computers, LLC v. Astec Industries, Inc.                                                                                                                                                       ","Clear With Computers, LLC                                               ",9/12/12    ,6:12-cv-00624,E.D. Tex.  ,5. Patent holding company                   ,                     ,                          ,1                   ,                                                                                                                                    
"Clear With Computers, LLC v. Clark Equipment Company dba Bobcat Company                                                                                                                                   ","Clear With Computers, LLC                                               ",9/12/12    ,6:12-cv-00625,E.D. Tex.  ,5. Patent holding company                   ,                     ,                          ,1                   ,                                                                                                                                    
"Clear With Computers, LLC v. CNH America LLC                                                                                                                                                              ","Clear With Computers, LLC                                               ",9/12/12    ,6:12-cv-00626,E.D. Tex.  ,5. Patent holding company                   ,                     ,                          ,1                   ,                                                                                                                                    
"Clear With Computers, LLC v. ECHO, Incorporated                                                                                                                                                           ","Clear With Computers, LLC                                               ",9/12/12    ,6:12-cv-00627,E.D. Tex.  ,5. Patent holding company                   ,                     ,                          ,1                   ,                                                                                                                                    
"Clear With Computers, LLC v. ET Works, LLC dba Equipment Technologies                                                                                                                                     ","Clear With Computers, LLC                                               ",9/12/12    ,6:12-cv-00628,E.D. Tex.  ,5. Patent holding company                   ,                     ,                          ,1                   ,                                                                                                                                    
"Clear With Computers, LLC v. Husqvarna, LLC                                                                                                                                                               ","Clear With Computers, LLC                                               ",9/12/12    ,6:12-cv-00629,E.D. Tex.  ,5. Patent holding company                   ,                     ,                          ,1                   ,                                                                                                                                    
"Clear With Computers, LLC v. JCB Manufacturing, Inc.                                                                                                                                                      ","Clear With Computers, LLC                                               ",9/12/12    ,6:12-cv-00630,E.D. Tex.  ,5. Patent holding company                   ,                     ,                          ,1                   ,                                                                                                                                    
"Clear With Computers, LLC v. Kinze Manufacturing, Inc.                                                                                                                                                    ","Clear With Computers, LLC                                               ",9/12/12    ,6:12-cv-00631,E.D. Tex.  ,5. Patent holding company                   ,                     ,                          ,1                   ,                                                                                                                                    
"Clear With Computers, LLC v. Kubota Tractor Corporation                                                                                                                                                   ","Clear With Computers, LLC                                               ",9/12/12    ,6:12-cv-00632,E.D. Tex.  ,5. Patent holding company                   ,                     ,                          ,1                   ,                                                                                                                                    
"Clear With Computers, LLC v. Swisher Acquisition, Inc.                                                                                                                                                    ","Clear With Computers, LLC                                               ",9/12/12    ,6:12-cv-00633,E.D. Tex.  ,5. Patent holding company                   ,                     ,                          ,1                   ,                                                                                                                                    
"Clear With Computers, LLC v. Terex Corporation                                                                                                                                                            ","Clear With Computers, LLC                                               ",9/12/12    ,6:12-cv-00634,E.D. Tex.  ,5. Patent holding company                   ,                     ,                          ,1                   ,                                                                                                                                    
"Clear With Computers, LLC v. Tracker Marine Retail, LLC et al                                                                                                                                             ","Clear With Computers, LLC                                               ",9/12/12    ,6:12-cv-00635,E.D. Tex.  ,5. Patent holding company                   ,                     ,                          ,2                   ,                                                                                                                                    
"Blue Spike, LLC v. Green Bit, Inc. et al                                                                                                                                                                  ","Blue Spike, LLC                                                         ",9/15/12    ,6:12-cv-00645,E.D. Tex.  ,4. Failed operating company/failed start-up ,                     ,                          ,3                   ,                                                                                                                                    
"Blue Spike, LLC v. TvTak USA, Inc. et al                                                                                                                                                                  ","Blue Spike, LLC                                                         ",9/15/12    ,6:12-cv-00646,E.D. Tex.  ,4. Failed operating company/failed start-up ,                     ,                          ,2                   ,                                                                                                                                    
"Blue Spike, LLC v. Innovatrics s.r.o. et al                                                                                                                                                               ","Blue Spike, LLC                                                         ",9/15/12    ,6:12-cv-00647,E.D. Tex.  ,4. Failed operating company/failed start-up ,                     ,                          ,2                   ,                                                                                                                                    
"Blue Spike, LLC v. BioLink Solutions Ltd. et al                                                                                                                                                           ","Blue Spike, LLC                                                         ",9/15/12    ,6:12-cv-00648,E.D. Tex.  ,4. Failed operating company/failed start-up ,                     ,                          ,2                   ,                                                                                                                                    
