Case Name                                                                                                                                                                                                   ,Patentee                                                                  ,Filing Date,Case No.     ,Court      ,Patentee Category                           ,"""True"" Individual","""Corporate"" Individual",Number of Defendants,                                                                                                                                    
3D Systems Inc v. Formlabs Inc et al                                                                                                                                                                        ,3D Systems Inc                                                            ,11/20/12   ,0:12-cv-03323,D.S.C.     ,6. Operating company                        ,                     ,                          ,2                   ,                                                                                                                                    
"ArrivalStar SA et al v. Atlas Van Lines, Inc. et al                                                                                                                                                       ",ArrivalStar SA                                                            ,1/11/12    ,0:12-cv-60050,S.D. Fla.  ,5. Patent holding company                   ,                     ,                          ,2                   ,                                                                                                                                    
"Ion Audio, LLC v. Music Group Services US, Inc. et al                                                                                                                                                     ","Music Group Services US, Inc.                                           ",2/3/12     ,0:12-cv-60201,S.D. Fla.  ,6. Operating company                        ,                     ,                          ,2                   ,                                                                                                                                    
"Flexiteek Americas, Inc. et al v. Plasteak, Inc. et al                                                                                                                                                    ","Flexiteek Americas, Inc.                                                ",2/6/12     ,0:12-cv-60215,S.D. Fla.  ,6. Operating company                        ,                     ,                          ,2                   ,                                                                                                                                    
"ULTIMATE COMBUSTION CO., INC. v. FUECOTECH, INC. et al                                                                                                                                                    ","ULTIMATE COMBUSTION CO., INC.                                           ",3/27/12    ,0:12-cv-60545,S.D. Fla.  ,6. Operating company                        ,                     ,                          ,4                   ,                                                                                                                                    
"Steeda Autosports, Inc. v. J&M Products, Inc.                                                                                                                                                             ","Steeda Autosports, Inc.                                                 ",4/11/12    ,0:12-cv-60642,S.D. Fla.  ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
"Apotex, Inc. et al v. Mylan Pharmaceuticals, Inc.                                                                                                                                                         ","Apotex, Inc.                                                            ",4/20/12    ,0:12-cv-60704,S.D. Fla.  ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
"Apotex, Inc. et al v. Pfizer, Inc. et al                                                                                                                                                                  ","Apotex, Inc.                                                            ",4/20/12    ,0:12-cv-60705,S.D. Fla.  ,6. Operating company                        ,                     ,                          ,2                   ,                                                                                                                                    
"Apotex, Inc. et al v. UCB, Inc. et al                                                                                                                                                                     ","Apotex, Inc.                                                            ",4/20/12    ,0:12-cv-60706,S.D. Fla.  ,6. Operating company                        ,                     ,                          ,5                   ,                                                                                                                                    
"Apotex, Inc. et al v. Paddock Laboratories, Inc. et al                                                                                                                                                    ","Apotex, Inc.                                                            ",4/20/12    ,0:12-cv-60707,S.D. Fla.  ,6. Operating company                        ,                     ,                          ,2                   ,                                                                                                                                    
"Apotex, Inc. et al v. Lupin Pharmaceuticals, Inc. et al                                                                                                                                                   ","Apotex, Inc.                                                            ",4/20/12    ,0:12-cv-60708,S.D. Fla.  ,6. Operating company                        ,                     ,                          ,2                   ,                                                                                                                                    
"Shire Development LLC et al v. Watson Pharmaceuticals, Inc. et al                                                                                                                                         ",Shire Development LLC                                                     ,5/8/12     ,0:12-cv-60862,S.D. Fla.  ,6. Operating company                        ,                     ,                          ,4                   ,                                                                                                                                    
"Select Retrieval, LLC v. Restockit, LLC                                                                                                                                                                   ","Select Retrieval, LLC                                                   ",6/1/12     ,0:12-cv-61058,S.D. Fla.  ,5. Patent holding company                   ,                     ,                          ,1                   ,                                                                                                                                    
"Select Retrieval, LLC v. ILS Holdings, LLC                                                                                                                                                                ","Select Retrieval, LLC                                                   ",6/1/12     ,0:12-cv-61059,S.D. Fla.  ,5. Patent holding company                   ,                     ,                          ,1                   ,                                                                                                                                    
"Pfizer Inc. et al v. Watson Laboratories, Inc. Florida et al                                                                                                                                              ",Pfizer Inc.                                                               ,6/25/12    ,0:12-cv-61268,S.D. Fla.  ,6. Operating company                        ,                     ,                          ,5                   ,                                                                                                                                    
"Li et al v. Flyboard, Inc. et al                                                                                                                                                                          ",Li                                                                        ,7/2/12     ,0:12-cv-61323,S.D. Fla.  ,2. Individual/family trust                  ,1                    ,0                         ,3                   ,                                                                                                                                    
"Smartwater, LTD. v. Applied DNA Sciences, Inc.                                                                                                                                                            ","Smartwater, LTD.                                                        ",8/24/12    ,0:12-cv-61660,S.D. Fla.  ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
Ivax LLC v. Celgene Corporation                                                                                                                                                                             ,Ivax LLC                                                                  ,9/28/12    ,0:12-cv-61917,S.D. Fla.  ,6. Operating company                        ,                     ,                          ,1                   ,                                                                                                                                    
