Case Name                                                                                                                   ,Patentee                                                                              ,Filing Date,Case No.     ,Court      ,Patentee Category                           ,"""True"" Individual","""Corporate"" Individual",Number of Defendants,NBER Category,                                                                                                                                    
"Johnson v. Hewitt Machine and Manufacturing, Inc. et al                                                                   ",Johnson                                                                               ,27-Dec-10  ,0:10-cv-04980,D. Minn.   ,2. Individual/family trust                  ,1                    ,0                         ,2                   ,5            ,                                                                                                                                    
"Caddy Products, Inc. v. Seating Concepts LLC                                                                              ","Caddy Products, Inc.                                                                ",30-Dec-10  ,0:10-cv-05005,D. Minn.   ,6. Operating company                        ,                     ,                          ,1                   ,6            ,                                                                                                                                    
"JRT Company Corp. v. Polymer Solutions Internationl, Inc.                                                                 ",JRT Company Corp.                                                                     ,20-Jan-10  ,0:10-cv-60093,S.D. Fla.  ,2. Individual/family trust                  ,0                    ,1                         ,1                   ,6            ,                                                                                                                                    
"Plasticos Vandux De Columbia S.A. et al v. Robanda International, Inc. et al                                              ",Plasticos Vandux De Columbia S.A.                                                     ,8-Feb-10   ,0:10-cv-60188,S.D. Fla.  ,6. Operating company                        ,                     ,                          ,3                   ,6            ,                                                                                                                                    
"Trebor Industries, Inc. v. Regatta AS et al                                                                               ","Trebor Industries, Inc.                                                             ",12-Mar-10  ,0:10-cv-60371,S.D. Fla.  ,6. Operating company                        ,                     ,                          ,3                   ,6            ,                                                                                                                                    
"ESCO Corporation v. GS Equipment, Inc.                                                                                    ",ESCO Corporation                                                                      ,26-Mar-10  ,0:10-cv-60466,S.D. Fla.  ,6. Operating company                        ,                     ,                          ,1                   ,6            ,                                                                                                                                    
Condatis LLC                                                                                                                ,Condatis LLC                                                                          ,8-Apr-10   ,0:10-cv-60540,S.D. Fla.  ,5. Patent holding company                   ,                     ,                          ,40                  ,2            ,                                                                                                                                    
"Arcs & Angles, Inc. v. Trend Supply, Inc.                                                                                 ","Arcs & Angles, Inc.                                                                 ",15-Apr-10  ,0:10-cv-60583,S.D. Fla.  ,6. Operating company                        ,                     ,                          ,1                   ,6            ,                                                                                                                                    
"Gordon-Darby Systems, Inc. v. Systech International, LLC                                                                  ","Gordon-Darby Systems, Inc.                                                          ",22-Apr-10  ,0:10-cv-60622,S.D. Fla.  ,6. Operating company                        ,                     ,                          ,1                   ,2            ,                                                                                                                                    
"Pfizer Inc. et al v. Watson Pharmaceuticals, Inc. et al                                                                   ",Pfizer Inc.                                                                           ,29-Apr-10  ,0:10-cv-60674,S.D. Fla.  ,6. Operating company                        ,                     ,                          ,4                   ,3            ,                                                                                                                                    
"Abbott Laboratories et al v. Watson Laboratories, Inc.-Florida et al                                                      ",Abbott Laboratories                                                                   ,29-Apr-10  ,0:10-cv-60677,S.D. Fla.  ,6. Operating company                        ,                     ,                          ,3                   ,3            ,                                                                                                                                    
"Vital Pharmaceuticals, Inc. v. Hinz                                                                                       ",Hinz                                                                                  ,1-Oct-10   ,0:10-cv-61832,S.D. Fla.  ,2. Individual/family trust                  ,1                    ,0                         ,1                   ,3            ,                                                                                                                                    
Novartis Pharmaceuticals Corporation et al v. Apotex Corp. et al                                                            ,Novartis Pharmaceuticals Corporation                                                  ,27-Oct-10  ,0:10-cv-62066,S.D. Fla.  ,6. Operating company                        ,                     ,                          ,2                   ,3            ,                                                                                                                                    
"Enpat, Inc. v. Denny                                                                                                      ","Enpat, Inc.                                                                         ",8-Nov-10   ,0:10-cv-62150,S.D. Fla.  ,5. Patent holding company                   ,                     ,                          ,1                   ,5            ,                                                                                                                                    
"Nusser v. Sony Electronics, Inc.                                                                                          ",Nusser                                                                                ,16-Nov-10  ,0:10-cv-62213,S.D. Fla.  ,2. Individual/family trust                  ,1                    ,0                         ,1                   ,5            ,                                                                                                                                    
"Rapid Mobile Technologies, Inc. v. Motorola, Inc.                                                                         ","Rapid Mobile Technologies, Inc.                                                     ",23-Dec-10  ,0:10-cv-62504,S.D. Fla.  ,6. Operating company                        ,                     ,                          ,3                   ,             ,                                                                                                                                    
"Cherdak v. Brown Shoe Company, Inc.                                                                                       ",Cherdak                                                                               ,4-Jan-10   ,1:10-cv-00003,E.D. Va.   ,2. Individual/family trust                  ,1                    ,0                         ,1                   ,6            ,                                                                                                                                    
Southco Inc. v. Penn Engineering & Manufacturing Corp.                                                                      ,Southco Inc.                                                                          ,5-Jan-10   ,1:10-cv-00003,D. Del.    ,6. Operating company                        ,                     ,                          ,1                   ,5            ,                                                                                                                                    
Enova Technology Corporation v. Initio Corporation et al                                                                    ,Enova Technology Corporation                                                          ,5-Jan-10   ,1:10-cv-00004,D. Del.    ,6. Operating company                        ,                     ,                          ,5                   ,2            ,                                                                                                                                    
Campbell Scientific et al v. Investment Signals                                                                             ,Investment Signals                                                                    ,26-Jan-10  ,1:10-cv-00006,D. Utah    ,5. Patent holding company                   ,                     ,                          ,2                   ,2            ,                                                                                                                                    
Cephalon Inc. et al v. Watson Laboratories Inc.                                                                             ,Cephalon Inc.                                                                         ,5-Jan-10   ,1:10-cv-00007,D. Del.    ,6. Operating company                        ,                     ,                          ,1                   ,1            ,                                                                                                                                    
"LECO Corporation v. Clemex Technologies, Inc.                                                                             ",LECO Corporation                                                                      ,7-Jan-10   ,1:10-cv-00013,W.D. Mich. ,6. Operating company                        ,                     ,                          ,1                   ,2            ,                                                                                                                                    
Zodiac Pool Care Inc. v. Aquatron Inc. et al                                                                                ,Zodiac Pool Care Inc.                                                                 ,6-Jan-10   ,1:10-cv-00016,D. Del.    ,6. Operating company                        ,                     ,                          ,2                   ,1            ,                                                                                                                                    
"D’Alise v. Basic Dental Implant Systems, Inc. et al                                                                       ",D’Alise                                                                               ,7-Jan-10   ,1:10-cv-00016,D.N.M.     ,2. Individual/family trust                  ,1                    ,0                         ,2                   ,3            ,                                                                                                                                    
AstraZeneca Pharmaceuticals LP et al v. Teva Parenteral Medicines Inc. et al                                                ,AstraZeneca Pharmaceuticals LP                                                        ,7-Jan-10   ,1:10-cv-00018,D. Del.    ,6. Operating company                        ,                     ,                          ,3                   ,3            ,                                                                                                                                    
"Southern Mills, Inc. v. International Textiles Group, Inc.                                                                ","Southern Mills, Inc.                                                                ",5-Jan-10   ,1:10-cv-00020,N.D. Ga.   ,6. Operating company                        ,                     ,                          ,1                   ,6            ,                                                                                                                                    
Icon Health & Fitness v. Solo Sports Group                                                                                  ,Icon Health & Fitness                                                                 ,10-Feb-10  ,1:10-cv-00020,D. Utah    ,6. Operating company                        ,                     ,                          ,1                   ,5            ,                                                                                                                                    
Alza Corporation et al v. Kremers Urban LLC et al                                                                           ,Alza Corporation                                                                      ,8-Jan-10   ,1:10-cv-00023,D. Del.    ,6. Operating company                        ,                     ,                          ,2                   ,3            ,                                                                                                                                    
Allergan Inc. v. Sandoz Inc.                                                                                                ,Allergan Inc.                                                                         ,8-Jan-10   ,1:10-cv-00024,D. Del.    ,6. Operating company                        ,                     ,                          ,1                   ,3            ,                                                                                                                                    
